source_dataset,source_dataset_id,program_year,program_type,ce_id,ce_name,county,region,claim_date,total_meals,reimbursement_amount,reimbursement_per_meal,data_quality_flags
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00122,COLLEGE STATION ISD,BRAZOS,3,2019-05-01T00:00:00.000,1593,4714.67,2.9596170747018204,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00122,COLLEGE STATION ISD,BRAZOS,3,2019-06-01T00:00:00.000,9730,27859.98,2.863307297019527,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00122,COLLEGE STATION ISD,BRAZOS,3,2019-07-01T00:00:00.000,2378,7101.2,2.986206896551724,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00122,COLLEGE STATION ISD,BRAZOS,3,2019-08-01T00:00:00.000,235,714.48,3.040340425531915,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00129,BROOKS COUNTY ISD,BROOKS,5,2019-06-01T00:00:00.000,8776,26154.39,2.9802176390154966,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00129,BROOKS COUNTY ISD,BROOKS,5,2019-07-01T00:00:00.000,94,265.3,2.822340425531915,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00137,CALDWELL ISD,BURLESON,3,2019-06-01T00:00:00.000,1450,4268.0,2.943448275862069,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00137,CALDWELL ISD,BURLESON,3,2019-07-01T00:00:00.000,96,273.6,2.85,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00137,CALDWELL ISD,BURLESON,3,2019-08-01T00:00:00.000,24,68.4,2.85,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00139,SNOOK ISD,BURLESON,3,2019-06-01T00:00:00.000,1047,2971.83,2.838424068767908,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00142,LOCKHART ISD,CALDWELL,4,2019-05-01T00:00:00.000,251,710.89,2.832231075697211,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00142,LOCKHART ISD,CALDWELL,4,2019-06-01T00:00:00.000,19625,56527.05,2.88035923566879,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00142,LOCKHART ISD,CALDWELL,4,2019-07-01T00:00:00.000,5426,15963.18,2.941979358643568,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00142,LOCKHART ISD,CALDWELL,4,2019-08-01T00:00:00.000,383,1157.3,3.0216710182767623,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00145,CALHOUN CO ISD,CALHOUN,3,2019-06-01T00:00:00.000,3918,10703.27,2.7318198060234815,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00145,CALHOUN CO ISD,CALHOUN,3,2019-07-01T00:00:00.000,2053,5602.1,2.7287384315635657,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00145,CALHOUN CO ISD,CALHOUN,3,2019-08-01T00:00:00.000,162,444.8,2.745679012345679,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00148,BAIRD ISD,CALLAHAN,1,2019-05-01T00:00:00.000,11,31.04,2.821818181818182,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00148,BAIRD ISD,CALLAHAN,1,2019-06-01T00:00:00.000,586,1629.04,2.7799317406143342,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00148,BAIRD ISD,CALLAHAN,1,2019-07-01T00:00:00.000,8,22.8,2.85,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00151,BROWNSVILLE ISD,CAMERON,5,2019-06-01T00:00:00.000,163694,467959.91,2.8587480909501872,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00151,BROWNSVILLE ISD,CAMERON,5,2019-07-01T00:00:00.000,42203,122557.34,2.903995924460346,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00151,BROWNSVILLE ISD,CAMERON,5,2019-08-01T00:00:00.000,4560,13743.88,3.0140087719298245,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00152,HARLINGEN CONS ISD,CAMERON,5,2019-05-01T00:00:00.000,3889,11244.36,2.8913242478786323,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00152,HARLINGEN CONS ISD,CAMERON,5,2019-06-01T00:00:00.000,46070,134202.3,2.913008465378771,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00152,HARLINGEN CONS ISD,CAMERON,5,2019-07-01T00:00:00.000,33413,99892.1,2.9896178134259124,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00152,HARLINGEN CONS ISD,CAMERON,5,2019-08-01T00:00:00.000,4295,12535.2,2.9185564610011645,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00153,LA FERIA ISD,CAMERON,5,2019-05-01T00:00:00.000,1935,5674.65,2.9326356589147284,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00153,LA FERIA ISD,CAMERON,5,2019-06-01T00:00:00.000,6273,18041.72,2.876091184441256,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00154,LOS FRESNOS CONS ISD,CAMERON,5,2019-05-01T00:00:00.000,2675,8039.5,3.0054205607476634,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00154,LOS FRESNOS CONS ISD,CAMERON,5,2019-06-01T00:00:00.000,21960,64741.9,2.9481739526411657,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00154,LOS FRESNOS CONS ISD,CAMERON,5,2019-07-01T00:00:00.000,4816,15063.3,3.1277616279069766,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00156,RIO HONDO ISD,CAMERON,5,2019-06-01T00:00:00.000,4729,13222.41,2.7960266441108055,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00157,SAN BENITO CONS ISD,CAMERON,5,2019-06-01T00:00:00.000,32603,94224.32,2.8900506088396773,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00157,SAN BENITO CONS ISD,CAMERON,5,2019-07-01T00:00:00.000,11808,35208.62,2.981759823848239,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00157,SAN BENITO CONS ISD,CAMERON,5,2019-08-01T00:00:00.000,710,2181.84,3.0730140845070424,ok
