source_dataset_id,source_label,ce_id,site_id,program_year,meal_service_type_public,rural_urban_status,sfsp_site_type_public,meal_types_served,breakfast_time,lunch_time,supper_time,am_snack_time,pm_snack_time,breakfast_meal_service_method,lunch_meal_service_method,supper_meal_service_method,am_snack_meal_service_method,pm_snack_meal_service_method,non_congregate_status_verified,non_congregate_source,rural_urban_source
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2296,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2319,2023,Congregate,Urban,Open,Lunch,,8:00 - 14:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2389,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:00 - 10:00,11:00 - 13:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2460,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:30 - 10:30,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2499,2023,Congregate,Urban,Open,Lunch,,13:00 - 15:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2563,2023,Congregate,Urban,Open,Lunch,,11:00 - 13:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2638,2023,Congregate,Urban,Open,"Breakfast, Lunch",8:00 - 9:00,12:00 - 14:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2688,2023,Congregate,Urban,Open,Lunch,,10:30 - 12:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2712,2023,Congregate,Urban,Open,Lunch,,11:00 - 13:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2787,2023,Congregate,Urban,Open,Lunch,,11:30 - 13:15,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2957,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2962,2023,Congregate,Urban,Open,Lunch,,13:00 - 15:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2964,2023,Congregate,Urban,Open,Lunch,,13:00 - 15:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2971,2023,Congregate,Urban,Open,"Breakfast, Lunch",8:00 - 9:00,11:30 - 13:30,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2973,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2976,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2981,2023,Congregate,Urban,Open,Lunch,,9:00 - 11:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2982,2023,Congregate,Urban,Open,Lunch,,9:00 - 13:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2983,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2984,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2986,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2987,2023,Congregate,Urban,Open,Lunch,,13:00 - 15:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2988,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2989,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2990,2023,Congregate,Urban,Open,"Breakfast, Lunch",7:30 - 8:30,12:15 - 14:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2992,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2993,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2994,2023,Congregate,Urban,Open,Lunch,,11:00 - 12:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2995,2023,Congregate,Urban,Open,"Breakfast, Lunch",7:30 - 8:30,12:00 - 14:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,1206,2023,Congregate,Urban,Closed - Enrolled in Needy Area,"Lunch, PM Snack",,11:00 - 12:00,,,14:00 - 15:00,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,1210,2023,Congregate,Urban,Closed - Enrolled in Needy Area,"Lunch, PM Snack",,12:00 - 13:00,,,14:00 - 15:00,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,1211,2023,Congregate,Urban,Closed - Enrolled in Needy Area,PM Snack,,,,,14:00 - 15:00,,,,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,1214,2023,Congregate,Urban,Closed - Enrolled in Needy Area,"Lunch, PM Snack",,10:00 - 12:00,,,14:00 - 16:00,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,1216,2023,Congregate,Urban,Closed - Enrolled in Needy Area,"Breakfast, Lunch",8:00 - 9:00,12:00 - 13:00,,,,Self-Prep - Receives meals (Central Kitchen),Self-Prep - Receives meals (Central Kitchen),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
