programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,School Food Authority,6,3,021-902,BRAZOS,23,0,23,2021-05-01T00:00:00.000,104749,0,179297,0,0,234637.7600,0.0000,701051.2700,0.0000,0.0000,96370.1800,1032059.2100
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,School Food Authority,6,3,021-902,BRAZOS,12,11,1,2021-06-01T00:00:00.000,19097,0,33584,0,0,42777.2800,0.0000,131313.4400,0.0000,0.0000,17934.5600,192025.2800
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,School Food Authority,6,3,021-902,BRAZOS,6,5,1,2021-07-01T00:00:00.000,5714,0,8589,0,0,12799.3600,0.0000,33582.9900,0.0000,0.0000,4771.3900,51153.7400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00138,SOMERVILLE ISD,Educational Institution,School Food Authority,6,3,026-902,BURLESON,1,1,0,2021-06-01T00:00:00.000,1494,0,1494,0,0,3346.5600,0.0000,5841.5400,0.0000,0.0000,941.2300,10129.3300
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00138,SOMERVILLE ISD,Educational Institution,School Food Authority,6,3,026-902,BURLESON,2,1,1,2021-07-01T00:00:00.000,630,0,901,0,0,1411.2000,0.0000,3522.9100,0.0000,0.0000,507.3400,5441.4500
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00138,SOMERVILLE ISD,Educational Institution,School Food Authority,6,3,026-902,BURLESON,1,0,1,2021-08-01T00:00:00.000,131,0,206,0,0,293.4400,0.0000,805.4600,0.0000,0.0000,113.1000,1212.0000
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,7,1,6,2020-10-01T00:00:00.000,22667,0,32778,0,0,48960.7200,0.0000,123245.2800,0.0000,0.0000,17738.7800,189944.7800
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,7,1,6,2020-11-01T00:00:00.000,18910,0,26096,0,0,40845.6000,0.0000,98120.9600,0.0000,0.0000,14308.3300,153274.8900
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,8,2,6,2020-12-01T00:00:00.000,15186,0,19955,0,0,32801.7600,0.0000,75030.8000,0.0000,0.0000,11097.3300,118929.8900
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,7,1,6,2021-01-01T00:00:00.000,18887,0,26705,0,0,42306.8800,0.0000,104416.5500,0.0000,0.0000,15084.6500,161808.0800
