odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
01538_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01538,"MARCANA ENTERPRISES, INC",Private Non Profit Organization,Private Nonprofit,19,1,071-,EL PASO,41,0,41,2023-06-01T00:00:00.000,11244,0,30946,0,5595,28897.0800,0.0000,138638.0800,0.0000,25065.6000,20041.4900,212642.2500
01538_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01538,"MARCANA ENTERPRISES, INC",Private Non Profit Organization,Private Nonprofit,19,1,071-,EL PASO,31,0,31,2023-07-01T00:00:00.000,9573,0,22763,0,5874,24602.6100,0.0000,101978.2400,0.0000,26315.5200,15900.5100,168796.8800
01544_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01544,REGIONAL EAST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,7,2,212-,SMITH,33,0,33,2023-06-01T00:00:00.000,10770,0,15854,0,0,27678.9000,0.0000,71025.9200,0.0000,0.0000,10197.7300,108902.5500
01544_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01544,REGIONAL EAST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,7,2,212-,SMITH,26,0,26,2023-07-01T00:00:00.000,5246,0,8054,0,0,13482.2200,0.0000,36081.9200,0.0000,0.0000,5123.1100,54687.2500
01544_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01544,REGIONAL EAST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,7,2,212-,SMITH,12,0,12,2023-08-01T00:00:00.000,903,0,1214,0,0,2320.7100,0.0000,5438.7200,0.0000,0.0000,800.8500,8560.2800
01549_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01549,WEST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,18,1,068-,ECTOR,12,0,12,2023-06-01T00:00:00.000,0,0,9865,8002,0,0.0000,0.0000,44195.2000,8322.0800,0.0000,5656.8100,58174.0900
01549_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01549,WEST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,18,1,068-,ECTOR,12,0,12,2023-07-01T00:00:00.000,0,0,8356,6625,0,0.0000,0.0000,37434.8800,6890.0000,0.0000,4772.0100,49096.8900
01550_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01550,HIGH PLAINS FOOD BANK,Private Non Profit Organization,Private Nonprofit,16,1,188-,POTTER,8,0,8,2023-06-01T00:00:00.000,1824,0,5639,0,368,4687.6800,0.0000,25262.7200,0.0000,1648.6400,3288.4100,34887.4500
01550_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01550,HIGH PLAINS FOOD BANK,Private Non Profit Organization,Private Nonprofit,16,1,188-,POTTER,8,0,8,2023-07-01T00:00:00.000,2610,0,7427,0,572,6707.7000,0.0000,33272.9600,0.0000,2562.5600,4425.0800,46968.3000
01550_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01550,HIGH PLAINS FOOD BANK,Private Non Profit Organization,Private Nonprofit,16,1,188-,POTTER,8,0,8,2023-08-01T00:00:00.000,475,0,1345,0,86,1220.7500,0.0000,6025.6000,0.0000,385.2800,793.7000,8425.3300
