programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00270,CITYSCAPE SCHOOLS,Educational Institution,Charter,10,2,057-841,DALLAS,5,3,2,2021-01-01T00:00:00.000,17396,0,17734,0,0,37432.7700,0.0000,63842.4000,0.0000,0.0000,101275.1700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00340,MAYPEARL ISD,Educational Institution,Public,10,2,070-915,ELLIS,5,1,4,2020-12-01T00:00:00.000,3110,0,7914,0,0,7028.6000,0.0000,28490.4000,0.0000,0.0000,35519.0000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00474,ASSN. FOR THE ADVANCEMENT OF MEXICAN AMERICANS,Educational Institution,Charter,4,3,101-804,HARRIS,4,2,2,2021-06-01T00:00:00.000,4422,0,4580,0,0,9993.7200,0.0000,16488.0000,0.0000,0.0000,26481.7200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00496,"YES PREP PUBLIC SCHOOLS, INC.",Educational Institution,Charter,4,3,101-845,HARRIS,43,26,17,2020-10-01T00:00:00.000,26032,0,48939,0,0,58832.3200,0.0000,176180.4000,0.0000,0.0000,235012.7200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00036,SEYMOUR ISD,Educational Institution,Public,9,2,012-901,BAYLOR,3,1,2,2021-05-01T00:00:00.000,2926,0,5050,0,0,6612.7600,0.0000,18180.0000,0.0000,0.0000,24792.7600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00043,ACADEMY ISD,Educational Institution,Public,12,2,014-901,BELL,5,1,4,2020-11-01T00:00:00.000,5928,0,12072,0,0,11203.9200,0.0000,43459.2000,0.0000,0.0000,54663.1200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00119,DAMON ISD,Educational Institution,Public,4,3,020-910,BRAZORIA,1,0,1,2021-01-01T00:00:00.000,1603,0,1519,0,0,3622.7800,0.0000,5468.4000,0.0000,0.0000,9091.1800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00137,CALDWELL ISD,Educational Institution,Public,6,3,026-901,BURLESON,3,1,2,2020-12-01T00:00:00.000,3960,0,11433,0,0,8949.6000,0.0000,41158.8000,0.0000,0.0000,50108.4000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00211,COLUMBUS ISD,Educational Institution,Public,3,3,045-902,COLORADO,3,0,3,2021-04-01T00:00:00.000,7787,0,16470,0,0,17598.6200,0.0000,59292.0000,0.0000,0.0000,76890.6200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00286,COPPELL ISD,Educational Institution,Public,10,2,057-922,DALLAS,11,0,11,2021-09-01T00:00:00.000,14233,0,52838,0,0,35048.7500,0.0000,228128.0600,0.0000,0.0000,263176.8100
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01098,SAN FELIPE-DEL RIO,Educational Institution,Public,15,4,233-901,VAL VERDE,20,3,17,2021-08-01T00:00:00.000,45413,0,114687,0,0,111829.5100,0.0000,495161.1200,0.0000,0.0000,606990.6300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,04979,EL PASO LEADERSHIP ACADEMY,Educational Institution,Charter,19,1,071-810,EL PASO,2,0,2,2021-09-01T00:00:00.000,1276,0,5024,0,0,3142.1400,0.0000,21691.1200,0.0000,0.0000,24833.2600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,06493,"Promesa Academy, Inc.",Educational Institution,Charter,20,4,015-839,BEXAR,2,1,1,2021-06-01T00:00:00.000,407,0,567,0,0,769.2300,0.0000,2029.8600,0.0000,0.0000,2799.0900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00846,CENTRAL HEIGHTS ISD,Educational Institution,Public,7,3,174-908,NACOGDOCHES,3,0,3,2021-09-01T00:00:00.000,4911,0,13532,0,0,12093.3300,0.0000,58424.4100,0.0000,0.0000,70517.7400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00878,PERRYTON ISD,Educational Institution,Public,16,1,179-901,OCHILTREE,7,1,6,2021-05-01T00:00:00.000,6442,0,17184,0,0,12498.7600,0.0000,61862.4000,0.0000,0.0000,74361.1600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00900,MILLSAP ISD,Educational Institution,Public,11,2,184-904,PARKER,4,1,3,2021-04-01T00:00:00.000,5068,0,12903,0,0,11453.6800,0.0000,46192.7400,0.0000,0.0000,57646.4200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00931,CLARKSVILLE ISD,Educational Institution,Public,8,2,194-904,RED RIVER,2,0,2,2021-09-01T00:00:00.000,7196,0,7642,0,0,17720.1500,0.0000,32994.3300,0.0000,0.0000,50714.4800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00968,ODEM-EDROY ISD,Educational Institution,Public,2,5,205-905,SAN PATRICIO,4,0,4,2021-09-01T00:00:00.000,7373,0,10874,0,0,18156.0100,0.0000,46948.4900,0.0000,0.0000,65104.5000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01032,WHITE SETTLEMENT ISD,Educational Institution,Public,11,2,220-920,TARRANT,10,2,8,2021-01-01T00:00:00.000,17545,0,59869,0,0,39651.7000,0.0000,215528.4000,0.0000,0.0000,255180.1000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00570,MISSION CONS ISD,Educational Institution,Public,1,5,108-908,HIDALGO,31,9,22,2021-03-01T00:00:00.000,204184,0,205218,0,0,461455.8400,0.0000,738784.8000,0.0000,0.0000,1200240.6400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00602,NORTH HOPKINS ISD,Educational Institution,Public,8,2,112-906,HOPKINS,2,0,2,2021-03-01T00:00:00.000,4157,0,5485,0,0,8534.9400,0.0000,19746.0000,0.0000,0.0000,28280.9400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00612,BIG SPRING ISD,Educational Institution,Public,18,1,114-901,HOWARD,2,1,1,2021-07-01T00:00:00.000,370,0,408,0,0,911.1200,0.0000,1761.5400,0.0000,0.0000,2672.6600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00681,CRANDALL ISD,Educational Institution,Public,10,2,129-901,KAUFMAN,8,0,8,2021-09-01T00:00:00.000,32261,0,68683,0,0,79442.7100,0.0000,296538.8500,0.0000,0.0000,375981.5600
