odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
04838_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04838,BOYS AND GIRLS CLUB OF ZAPATA COUNTY,Private Non Profit Organization,Private Nonprofit,1,5,,ZAPATA,1,0,1,2024-07-01T00:00:00.000,0,0,751,856,0,0.0,0.0,3544.72,941.6,0.0,485.43,4971.75
04838_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04838,BOYS AND GIRLS CLUB OF ZAPATA COUNTY,Private Non Profit Organization,Private Nonprofit,1,5,,ZAPATA,1,0,1,2024-08-01T00:00:00.000,0,0,193,197,0,0.0,0.0,910.96,216.7,0.0,121.65,1249.31
04873_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04873,"CUSTER ROAD UNITED METHODIST CHURCH, INC",Private Non Profit Organization,Private Nonprofit,10,2,,COLLIN,1,0,1,2024-06-01T00:00:00.000,0,0,860,0,0,0.0,0.0,4059.2,0.0,0.0,352.6,4411.8
05006_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,05006,BRIGHT NUTRITION,Private Non Profit Organization,Private Nonprofit,1,5,,CAMERON,28,0,28,2024-06-01T00:00:00.000,16536,0,17483,0,0,44812.56,0.0,82519.76,0.0,0.0,11484.52,138816.84
05006_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,05006,BRIGHT NUTRITION,Private Non Profit Organization,Private Nonprofit,1,5,,CAMERON,28,0,28,2024-07-01T00:00:00.000,33599,0,35361,0,0,91053.29,0.0,166903.92,0.0,0.0,24617.15,282574.36
05006_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,05006,BRIGHT NUTRITION,Private Non Profit Organization,Private Nonprofit,1,5,,CAMERON,27,0,27,2024-08-01T00:00:00.000,12692,0,13270,0,0,34395.32,0.0,62634.4,0.0,0.0,9301.0,106330.72
05255_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,05255,"FOOD ALWAYS, INC.",Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,6,0,6,2024-06-01T00:00:00.000,2360,0,3093,0,0,6395.6,0.0,14598.96,0.0,0.0,2154.6,23149.16
05259_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,05259,K12 ENRICHMENT ACADEMY,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,9,0,9,2024-06-01T00:00:00.000,5920,0,6793,0,0,16043.2,0.0,32062.96,0.0,0.0,4043.13,52149.29
05259_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,05259,K12 ENRICHMENT ACADEMY,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,7,0,7,2024-07-01T00:00:00.000,5631,0,7104,0,0,15260.01,0.0,33530.88,0.0,0.0,4109.23,52900.12
05259_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,05259,K12 ENRICHMENT ACADEMY,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,4,0,4,2024-08-01T00:00:00.000,500,0,560,0,0,1355.0,0.0,2643.2,0.0,0.0,335.85,4334.05
