odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
06744_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06744,Circle Of Giving Community Outreach,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,8,0,8,2025-07-01T00:00:00.000,1931,0,7149,4451,0,5426.11,0.0,34958.61,5074.14,0.0,4822.85,50281.71
06975_5_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06975,Education Potential Verified,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,10,0,10,2025-05-01T00:00:00.000,938,0,1846,983,0,2635.78,0.0,9026.94,1120.62,0.0,1099.04,13882.38
06975_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06975,Education Potential Verified,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,82,0,82,2025-06-01T00:00:00.000,19746,0,48383,11853,0,55486.26,0.0,236592.87,13512.42,0.0,26210.73,331802.28
06975_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06975,Education Potential Verified,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,82,0,82,2025-07-01T00:00:00.000,17889,0,49283,10961,0,50268.09,0.0,240993.87,12495.54,0.0,26086.57,329844.07
06975_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06975,Education Potential Verified,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,64,0,64,2025-08-01T00:00:00.000,1256,0,4533,1441,0,3529.36,0.0,22166.37,1642.74,0.0,2361.36,29699.83
07014_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07014,Vision Ministries Community Church,Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,5,0,5,2025-06-01T00:00:00.000,1946,0,2510,0,0,5468.26,0.0,12273.9,0.0,0.0,1826.4,19568.56
07014_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07014,Vision Ministries Community Church,Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,9,0,9,2025-07-01T00:00:00.000,7816,0,7987,0,0,21962.96,0.0,39056.43,0.0,0.0,6262.28,67281.67
07014_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07014,Vision Ministries Community Church,Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,8,0,8,2025-08-01T00:00:00.000,967,0,980,0,0,2717.27,0.0,4792.2,0.0,0.0,770.59,8280.06
07122_5_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07122,"Harvest Texarkana Regional Food Bank, Inc.",Private Non Profit Organization,Private Nonprofit,8,2,,BOWIE,2,0,2,2025-05-01T00:00:00.000,0,0,431,0,0,0.0,0.0,2107.59,0.0,0.0,220.89,2328.48
07122_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07122,"Harvest Texarkana Regional Food Bank, Inc.",Private Non Profit Organization,Private Nonprofit,8,2,,BOWIE,2,0,2,2025-06-01T00:00:00.000,0,0,2189,0,0,0.0,0.0,10704.21,0.0,0.0,1121.86,11826.07
07122_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07122,"Harvest Texarkana Regional Food Bank, Inc.",Private Non Profit Organization,Private Nonprofit,8,2,,BOWIE,2,0,2,2025-07-01T00:00:00.000,0,0,2691,0,0,0.0,0.0,13158.99,0.0,0.0,1379.14,14538.13
07122_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07122,"Harvest Texarkana Regional Food Bank, Inc.",Private Non Profit Organization,Private Nonprofit,8,2,,BOWIE,1,0,1,2025-08-01T00:00:00.000,0,0,159,0,0,0.0,0.0,777.51,0.0,0.0,81.49,859.0
07125_5_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07125,Boys & Girls Clubs of Greater Tarrant County Inc.,Private Non Profit Organization,Private Nonprofit,11,2,,TARRANT,8,0,8,2025-05-01T00:00:00.000,0,0,2929,2900,0,0.0,0.0,14322.81,3306.0,0.0,1907.11,19535.92
07125_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07125,Boys & Girls Clubs of Greater Tarrant County Inc.,Private Non Profit Organization,Private Nonprofit,11,2,,TARRANT,16,0,16,2025-06-01T00:00:00.000,0,0,29395,28953,0,0.0,0.0,143741.55,33006.42,0.0,19118.36,195866.33
07125_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07125,Boys & Girls Clubs of Greater Tarrant County Inc.,Private Non Profit Organization,Private Nonprofit,11,2,,TARRANT,15,0,15,2025-07-01T00:00:00.000,0,0,26658,26298,0,0.0,0.0,130357.62,29979.72,0.0,17343.95,177681.29
07125_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07125,Boys & Girls Clubs of Greater Tarrant County Inc.,Private Non Profit Organization,Private Nonprofit,11,2,,TARRANT,8,0,8,2025-08-01T00:00:00.000,0,0,2232,2199,0,0.0,0.0,10914.48,2506.86,0.0,1451.76,14873.1
07141_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07141,Texas A&M University-Kingsville,Educational Institution,Nonresidential Summer Camp,2,5,,KLEBERG,1,0,1,2025-06-01T00:00:00.000,0,0,1385,0,0,0.0,0.0,6772.65,0.0,0.0,709.81,7482.46
07141_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07141,Texas A&M University-Kingsville,Educational Institution,Nonresidential Summer Camp,2,5,,KLEBERG,1,0,1,2025-07-01T00:00:00.000,0,0,69,0,0,0.0,0.0,337.41,0.0,0.0,35.36,372.77
07154_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07154,Remnants of Love Outreach Center,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,6,0,6,2025-07-01T00:00:00.000,543,0,597,0,0,1525.83,0.0,2919.33,0.0,0.0,456.64,4901.8
07154_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07154,Remnants of Love Outreach Center,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,6,0,6,2025-08-01T00:00:00.000,749,0,875,0,0,2104.69,0.0,4278.75,0.0,0.0,656.29,7039.73
07163_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07163,"United Community Centers, Inc.",Private Non Profit Organization,Private Nonprofit,11,2,,TARRANT,3,0,3,2025-06-01T00:00:00.000,1654,0,2243,0,0,4647.74,0.0,10968.27,0.0,0.0,1608.53,17224.54
07163_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07163,"United Community Centers, Inc.",Private Non Profit Organization,Private Nonprofit,11,2,,TARRANT,3,0,3,2025-07-01T00:00:00.000,3551,0,4840,0,0,9978.31,0.0,23667.6,0.0,0.0,3465.9,37111.81
07163_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07163,"United Community Centers, Inc.",Private Non Profit Organization,Private Nonprofit,11,2,,TARRANT,3,0,3,2025-08-01T00:00:00.000,573,0,830,0,0,1610.13,0.0,4058.7,0.0,0.0,584.39,6253.22
07179_5_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07179,"Journeys Of The Heart, Inc.",Private Non Profit Organization,Private Nonprofit,7,2,,SMITH,2,0,2,2025-05-01T00:00:00.000,533,0,541,0,0,1497.73,0.0,2645.49,0.0,0.0,425.17,4568.39
07179_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07179,"Journeys Of The Heart, Inc.",Private Non Profit Organization,Private Nonprofit,7,2,,SMITH,7,0,7,2025-06-01T00:00:00.000,5171,0,5494,0,0,14530.51,0.0,26865.66,0.0,0.0,4250.63,45646.8
07179_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07179,"Journeys Of The Heart, Inc.",Private Non Profit Organization,Private Nonprofit,7,2,,SMITH,5,0,5,2025-07-01T00:00:00.000,7578,0,7813,0,0,21294.18,0.0,38205.57,0.0,0.0,6107.06,65606.81
07179_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07179,"Journeys Of The Heart, Inc.",Private Non Profit Organization,Private Nonprofit,7,2,,SMITH,5,0,5,2025-08-01T00:00:00.000,2189,0,2424,0,0,6151.09,0.0,11853.36,0.0,0.0,1849.75,19854.2
07194_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07194,"HARVEST FOR THE HUNGRY, INC.",Private Non Profit Organization,Private Nonprofit,4,3,,BRAZOS,1,0,1,2025-07-01T00:00:00.000,0,0,74,0,0,0.0,0.0,361.86,0.0,0.0,37.93,399.79
07210_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,07210,CHURCH OF FAITH,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,1,0,1,2025-08-01T00:00:00.000,0,0,0,0,158,0.0,0.0,0.0,0.0,772.62,80.98,853.6
