programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00090,NORTHSIDE ISD-SAN ANTONIO,Educational Institution,Public,20,4,015-915,BEXAR,22,2019-06-01T00:00:00.000,49001,0,72652,0,0,104862.1400,0,246290.2800,0,0,351152.4200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00090,NORTHSIDE ISD-SAN ANTONIO,Educational Institution,Public,20,4,015-915,BEXAR,9,2019-07-01T00:00:00.000,9366,0,4814,0,0,20605.2000,0,16849.0000,0,0,37454.2000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00090,NORTHSIDE ISD-SAN ANTONIO,Educational Institution,Public,20,4,015-915,BEXAR,2,2019-08-01T00:00:00.000,1914,0,674,0,0,4210.8000,0,2359.0000,0,0,6569.8000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00091,JUDSON ISD,Educational Institution,Public,20,4,015-916,BEXAR,9,2019-06-01T00:00:00.000,11855,0,22685,0,0,25369.7000,0,76902.1500,0,0,102271.8500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00091,JUDSON ISD,Educational Institution,Public,20,4,015-916,BEXAR,4,2019-07-01T00:00:00.000,1003,0,1915,0,0,2206.6000,0,6702.5000,0,0,8909.1000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00092,SOUTHSIDE ISD,Educational Institution,Public,20,4,015-917,BEXAR,2,2019-06-01T00:00:00.000,2280,0,3787,0,0,4879.2000,0,12837.9300,0,0,17717.1300
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00092,SOUTHSIDE ISD,Educational Institution,Public,20,4,015-917,BEXAR,1,2019-07-01T00:00:00.000,284,0,316,0,0,624.8000,0,1106.0000,0,0,1730.8000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00094,BLANCO ISD,Educational Institution,Public,13,4,016-902,BLANCO,1,2019-06-01T00:00:00.000,135,0,144,0,0,288.9000,0,488.1600,0,0,777.0600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00096,CLIFTON ISD,Educational Institution,Public,12,2,018-901,BOSQUE,1,2019-06-01T00:00:00.000,173,0,185,0,0,370.2200,0,627.1500,0,0,997.3700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00097,MERIDIAN ISD,Educational Institution,Public,12,2,018-902,BOSQUE,1,2019-06-01T00:00:00.000,231,0,912,0,0,494.3400,0,3091.6800,0,0,3586.0200
