odprecid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfast,breakfasttotal,amsnackdays,amsnack,amsnacktotal,lunchdays,lunch,lunchtotal,pmsnackdays,pmsnack,pmsnacktotal,supperdays,supper,suppertotal,totalsnacks,totalmealssnacks,secondbreakfast,secondamsnack,secondlunch,secondpmsnack,secondsupper
03949-0039,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0039,Memorial High School,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,0,0,0,0,0,0,6,252,252,0,0,0,0,0,0,0,252,0,0,0,0,0
03949-0042,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0042,Park Central,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,17,54,59,0,0,0,17,74,80,0,0,0,0,0,0,0,139,5,0,6,0,0
03949-0042,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0042,Park Central,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,19,78,84,0,0,0,19,100,109,0,0,0,0,0,0,0,193,6,0,9,0,0
03949-0042,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0042,Park Central,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,1,4,4,0,0,0,1,4,4,0,0,0,0,0,0,0,8,0,0,0,0,0
03949-0044,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0044,Rampart Apartments,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0044,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0044,Rampart Apartments,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,16,63,64,0,0,0,16,93,99,0,0,0,0,0,0,0,163,1,0,6,0,0
03949-0044,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0044,Rampart Apartments,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,2,2,2,0,0,0,2,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0
03949-0045,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0045,Port Arthur Public Library,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0045,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0045,Port Arthur Public Library,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0045,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0045,Port Arthur Public Library,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0050,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0050,Pebble Creek Apartments,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,17,46,46,0,0,0,17,50,50,0,0,0,0,0,0,0,96,0,0,0,0,0
03949-0050,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0050,Pebble Creek Apartments,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,15,54,54,0,0,0,15,54,54,0,0,0,0,0,0,0,108,0,0,0,0,0
03949-0050,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0050,Pebble Creek Apartments,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0051,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0051,Cedar Ridge,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,15,40,45,0,0,0,15,72,81,0,0,0,0,0,0,0,126,5,0,9,0,0
03949-0051,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0051,Cedar Ridge,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,20,156,156,0,0,0,20,147,172,0,0,0,0,0,0,0,328,0,0,25,0,0
03949-0051,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0051,Cedar Ridge,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,1,5,5,0,0,0,1,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0
03949-0052,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0052,Pine Club Apartments,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,4,6,6,0,0,0,4,9,9,0,0,0,0,0,0,0,15,0,0,0,0,0
