cesiteid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,cecounty,sitecounty,claimdate,breakfastdays,breakfast,secondbreakfast,breakfasttotal,amsnackdays,amsnack,secondamsnack,amsnacktotal,lunchdays,lunch,secondlunch,lunchtotal,pmsnackdays,pmsnack,secondpmsnack,pmsnacktotal,supperdays,supper,secondsupper,suppertotal,totalsnacks,totalmeals_snacks
00034-1206,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1206,Lake Thunderbird,BASTROP,BASTROP,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,19,106,3,109,0,0,0,0,0,0,0,0,0,109
00034-1208,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1208,Smithville Rec Center,BASTROP,BASTROP,2018-06-01T00:00:00.000,8,160,4,164,0,0,0,0,15,172,4,176,6,100,2,102,0,0,0,0,102,442
00034-1208,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1208,Smithville Rec Center,BASTROP,BASTROP,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,19,374,8,382,19,293,6,299,0,0,0,0,299,681
00034-1208,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1208,Smithville Rec Center,BASTROP,BASTROP,2018-08-01T00:00:00.000,0,0,0,0,0,0,0,0,3,28,1,29,3,38,1,39,0,0,0,0,39,68
00034-1209,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1209,SMITHVILLE PUBLIC LIBRARY,BASTROP,BASTROP,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,15,138,3,141,0,0,0,0,0,0,0,0,0,141
00034-1209,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1209,SMITHVILLE PUBLIC LIBRARY,BASTROP,BASTROP,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,19,109,3,112,0,0,0,0,0,0,0,0,0,112
00034-1209,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1209,SMITHVILLE PUBLIC LIBRARY,BASTROP,BASTROP,2018-08-01T00:00:00.000,0,0,0,0,0,0,0,0,3,30,1,31,0,0,0,0,0,0,0,0,0,31
00034-1210,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1210,Smithville Methodist Church,BASTROP,BASTROP,2018-07-01T00:00:00.000,0,0,0,0,4,107,2,109,4,212,4,216,0,0,0,0,0,0,0,0,109,325
00034-1211,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1211,FIRST BAPTIST CHURCH,BASTROP,BASTROP,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,337,7,344,0,344
00035-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00035,MCDADE ISD,Educational Institution,School Food Authority,13,4,0101,MCDADE EL,BASTROP,BASTROP,2018-07-01T00:00:00.000,15,236,0,236,0,0,0,0,15,569,0,569,0,0,0,0,0,0,0,0,0,805
00045-0044,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00045,BELTON ISD,Educational Institution,School Food Authority,12,2,0044,SOUTH BELTON MIDDLE,BELL,BELL,2018-06-01T00:00:00.000,17,135,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
00045-0103,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00045,BELTON ISD,Educational Institution,School Food Authority,12,2,0103,MILLER HEIGHTS EL,BELL,BELL,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,20,772,0,772,0,0,0,0,0,0,0,0,0,772
00045-0103,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00045,BELTON ISD,Educational Institution,School Food Authority,12,2,0103,MILLER HEIGHTS EL,BELL,BELL,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,21,593,0,593,0,0,0,0,0,0,0,0,0,593
00045-0103,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00045,BELTON ISD,Educational Institution,School Food Authority,12,2,0103,MILLER HEIGHTS EL,BELL,BELL,2018-08-01T00:00:00.000,0,0,0,0,0,0,0,0,8,267,0,267,0,0,0,0,0,0,0,0,0,267
00045-0104,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00045,BELTON ISD,Educational Institution,School Food Authority,12,2,0104,SOUTHWEST EL,BELL,BELL,2018-06-01T00:00:00.000,20,1737,0,1737,0,0,0,0,20,2978,0,2978,0,0,0,0,0,0,0,0,0,4715
00045-0104,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00045,BELTON ISD,Educational Institution,School Food Authority,12,2,0104,SOUTHWEST EL,BELL,BELL,2018-07-01T00:00:00.000,21,231,0,231,0,0,0,0,21,1161,0,1161,0,0,0,0,0,0,0,0,0,1392
00045-0104,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00045,BELTON ISD,Educational Institution,School Food Authority,12,2,0104,SOUTHWEST EL,BELL,BELL,2018-08-01T00:00:00.000,8,122,0,122,0,0,0,0,8,432,0,432,0,0,0,0,0,0,0,0,0,554
00045-1201,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00045,BELTON ISD,Educational Institution,School Food Authority,12,2,1201,BELTON CHRISTIAN YOUTH CENTER,BELL,BELL,2018-06-01T00:00:00.000,20,2508,0,2508,0,0,0,0,20,3226,0,3226,0,0,0,0,0,0,0,0,0,5734
00045-1201,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00045,BELTON ISD,Educational Institution,School Food Authority,12,2,1201,BELTON CHRISTIAN YOUTH CENTER,BELL,BELL,2018-07-01T00:00:00.000,21,2197,0,2197,0,0,0,0,21,2841,0,2841,0,0,0,0,0,0,0,0,0,5038
